"exclude","partyabbrev","text","doc_id","party","partycolor","partyorder","corpus_line_id","heading_order","doc_line_id","sentence","doc_sentence_id","corpus_sentence_id","heading","paragraph","context_after","context_before","partyname_in_text","sentence_id"
0,"AfD","Wir lehnen alle Versuche ab, den Sinn des Wortes „Familie"" in Art. 6 Abs. 1 Grundgesetz auf andere Gemeinschaften auszudehnen und der Familie auf diesem Wege den besonderen staatlichen Schutz zu entziehen.","afd.txt","41953","blue",6,311,0,311,"Wir lehnen alle Versuche ab, den Sinn des Wortes „Familie"" in Art. 6 Abs. 1 Grundgesetz auf andere Gemeinschaften auszudehnen und der Familie auf diesem Wege den besonderen staatlichen Schutz zu entziehen.",585,585,"7.9 Für ein klares Familienbild – Gender-Ideologie ist verfassungsfeindlich","Die AfD will, dass sich die Familienpolitik des Bundes und der Länder am Bild der Familie aus Vater, Mutter und Kindern orientiert. Wir lehnen alle Versuche ab, den Sinn des Wortes „Familie"" in Art. 6 Abs. 1 Grundgesetz auf andere Gemeinschaften auszudehnen und der Familie auf diesem Wege den besonderen staatlichen Schutz zu entziehen.","","Die AfD will, dass sich die Familienpolitik des Bundes und der Länder am Bild der Familie aus Vater, Mutter und Kindern orientiert. ","FALSE",35
0,"AfD","Wir brauchen über mehrere Jahre diesbezüglich eine Minuszuwanderung.","afd.txt","41953","blue",6,201,0,201,"Wir brauchen über mehrere Jahre diesbezüglich eine Minuszuwanderung.",398,398,"5.2 Zuwanderung muss nach unseren Regeln stattfinden","Eine erfolgreiche Anpassung all dieser Menschen, darunter ein beträchtlicher Anteil von Analphabeten, ist unmöglich. Wir brauchen über mehrere Jahre diesbezüglich eine Minuszuwanderung.","","Eine erfolgreiche Anpassung all dieser Menschen, darunter ein beträchtlicher Anteil von Analphabeten, ist unmöglich. ","FALSE",49
0,"AfD","Wir wollen dem Volk das Recht geben, den Abgeordneten auf die Finger zu schauen und vom Parlament beschlossene Gesetze zu ändern oder abzulehnen.","afd.txt","41953","blue",6,17,0,17,"Wir wollen dem Volk das Recht geben, den Abgeordneten auf die Finger zu schauen und vom Parlament beschlossene Gesetze zu ändern oder abzulehnen.",39,39,"1.4 Volksabstimmungen nach Schweizer Vorbild","Wir wollen dem Volk das Recht geben, den Abgeordneten auf die Finger zu schauen und vom Parlament beschlossene Gesetze zu ändern oder abzulehnen. Dies würde in kürzester Zeit die Flut der oftmals unsinnigen Gesetzesvorlagen nachhaltig eindämmen und die Parlamente zu sorgfältigerer Arbeit zwingen. Ein mäßigender Einfluss auf Beschlüsse der Abgeordneten in eigener Sache – etwa Diäten-, Fraktions- und Parteienfinanzierung und die Finanzierung von „parteinahen"" Stiftungen – wäre dadurch gewährleistet. Das Volk soll auch die Möglichkeit erhalten, eigene Gesetzesinitiativen einzubringen und per Volksabstimmung zu beschließen."," Dies würde in kürzester Zeit die Flut der oftmals unsinnigen Gesetzesvorlagen nachhaltig eindämmen und die Parlamente zu sorgfältigerer Arbeit zwingen. Ein mäßigender Einfluss auf Beschlüsse der Abgeordneten in eigener Sache – etwa Diäten-, Fraktions- und Parteienfinanzierung und die Finanzierung von „parteinahen"" Stiftungen – wäre dadurch gewährleistet. Das Volk soll auch die Möglichkeit erhalten, eigene Gesetzesinitiativen einzubringen und per Volksabstimmung zu beschließen.","","FALSE",61
0,"AfD","Wir wenden uns gegen die negativen Auswirkungen eines weltweiten Preisdumpings zulasten von Umwelt, Mensch und Tier.","afd.txt","41953","blue",6,621,0,621,"Wir wenden uns gegen die negativen Auswirkungen eines weltweiten Preisdumpings zulasten von Umwelt, Mensch und Tier.",1094,1094,"15.6 Stärkung der bäuerlichen Landwirtschaft","Die AfD steht zur Förderung von landwirtschaftlichen Familienbetrieben und Genossenschaften. Die Globalisierung bewerten wir im Bereich der Landwirtschaft kritisch. Bürokratie und Überregulierung durch EU, Bund und Länder wollen wir abbauen. Wir wenden uns gegen die negativen Auswirkungen eines weltweiten Preisdumpings zulasten von Umwelt, Mensch und Tier. Unsere landwirtschaftlichen Familienbetriebe müssen wieder in die Lage versetzt werden, von ihrem Einkommen den sozialen Standard ihrer Familien zu sichern und Investitionen für den Weiterbestand ihres Hofs zu tätigen."," Unsere landwirtschaftlichen Familienbetriebe müssen wieder in die Lage versetzt werden, von ihrem Einkommen den sozialen Standard ihrer Familien zu sichern und Investitionen für den Weiterbestand ihres Hofs zu tätigen.","Die AfD steht zur Förderung von landwirtschaftlichen Familienbetrieben und Genossenschaften. Die Globalisierung bewerten wir im Bereich der Landwirtschaft kritisch. Bürokratie und Überregulierung durch EU, Bund und Länder wollen wir abbauen. ","FALSE",45
0,"AfD","Wir bekennen uns zur umfassenden Bildung, die zur Entfaltung der Persönlichkeit sowie zur Wahrnehmung der staatsbürgerlichen Rechte und Pflichten notwendig ist.","afd.txt","41953","blue",6,323,0,323,"Wir bekennen uns zur umfassenden Bildung, die zur Entfaltung der Persönlichkeit sowie zur Wahrnehmung der staatsbürgerlichen Rechte und Pflichten notwendig ist.",600,600,"Bildung und Schule: Mut zur Differenzierung","Wir bekennen uns zur umfassenden Bildung, die zur Entfaltung der Persönlichkeit sowie zur Wahrnehmung der staatsbürgerlichen Rechte und Pflichten notwendig ist. Die Politik der etablierten Parteien, die eine nivellierende Einheitsschule anstrebt und dabei Qualitätsverlust in Kauf nimmt, bedroht die Zukunftschancen junger Menschen und somit auch die Konkurrenzfähigkeit unserer Wirtschaft."," Die Politik der etablierten Parteien, die eine nivellierende Einheitsschule anstrebt und dabei Qualitätsverlust in Kauf nimmt, bedroht die Zukunftschancen junger Menschen und somit auch die Konkurrenzfähigkeit unserer Wirtschaft.","","FALSE",43
0,"AfD","Wir setzen uns für eine leistungsfähige, flächendeckende und möglichst wohnortnahe medizinische Versorgung für alle Bürger ein – im ambulanten wie im stationären Bereich.","afd.txt","41953","blue",6,492,0,492,"Wir setzen uns für eine leistungsfähige, flächendeckende und möglichst wohnortnahe medizinische Versorgung für alle Bürger ein – im ambulanten wie im stationären Bereich.",883,883,"Unser Gesundheitssystem ist in Gefahr","Wir setzen uns für eine leistungsfähige, flächendeckende und möglichst wohnortnahe medizinische Versorgung für alle Bürger ein – im ambulanten wie im stationären Bereich.","","","FALSE",94
0,"AfD","Wir unterstützen die Stärkung der ländlichen Infrastruktur.","afd.txt","41953","blue",6,596,0,596,"Wir unterstützen die Stärkung der ländlichen Infrastruktur.",1049,1049,"14.3 Den ländlichen Raum stärken","Wir unterstützen die Stärkung der ländlichen Infrastruktur. Die dort lebenden Menschen haben einen Anspruch auf angemessene Infrastruktur, auch wenn die Besiedlungsdichte gering ist."," Die dort lebenden Menschen haben einen Anspruch auf angemessene Infrastruktur, auch wenn die Besiedlungsdichte gering ist.","","FALSE",42
0,"AfD","Wir wollen die regionale Lebensmittelerzeugung und Direktvermarktung durch bäuerliche Betriebe stärken.","afd.txt","41953","blue",6,623,0,623,"Wir wollen die regionale Lebensmittelerzeugung und Direktvermarktung durch bäuerliche Betriebe stärken.",1097,1097,"15.6.1 Regionalisierung und Direktvermarktung","Wir wollen die regionale Lebensmittelerzeugung und Direktvermarktung durch bäuerliche Betriebe stärken. Hinderliche Vorschriften sind zu beseitigen."," Hinderliche Vorschriften sind zu beseitigen.","","FALSE",2
0,"AfD","Wir sind bereit, gemeinsam mit allen demokratischen Parteien, Tarifparteien, Verbänden und wissenschaftlichen Einrichtungen ein zukunftsorientiertes Steuersystem auf den Weg zu bringen, das selbstverständlich auch die erforderlichen sozialen Belange berücksichtigt.","afd.txt","41953","blue",6,397,0,397,"Wir sind bereit, gemeinsam mit allen demokratischen Parteien, Tarifparteien, Verbänden und wissenschaftlichen Einrichtungen ein zukunftsorientiertes Steuersystem auf den Weg zu bringen, das selbstverständlich auch die erforderlichen sozialen Belange berücksichtigt.",729,729,"10.1 Steuern","Wir sind bereit, gemeinsam mit allen demokratischen Parteien, Tarifparteien, Verbänden und wissenschaftlichen Einrichtungen ein zukunftsorientiertes Steuersystem auf den Weg zu bringen, das selbstverständlich auch die erforderlichen sozialen Belange berücksichtigt.","","","FALSE",96
0,"AfD","Wir wollen, dass Bundestagsabgeordnete ihre volle Arbeitskraft der parlamentarischen Arbeit widmen.","afd.txt","41953","blue",6,47,0,47,"Wir wollen, dass Bundestagsabgeordnete ihre volle Arbeitskraft der parlamentarischen Arbeit widmen.",100,100,"1.12 Lobbyismus eindämmen","Wir wollen, dass Bundestagsabgeordnete ihre volle Arbeitskraft der parlamentarischen Arbeit widmen. Das Mandat darf nicht unter bezahlten Nebentätigkeiten leiden. Der überbordende Lobbyismus in Brüssel und Berlin muss eingedämmt werden. Wir wollen die Regelungen der Nebentätigkeiten für Parlamentarier und gegen Abgeordnetenbestechung deutlich verschärfen. Unseren eigenen Abgeordneten haben wir bereits jetzt über unsere Satzung entsprechende Regeln auferlegt. Ferner setzen wir uns für ein Lobbyisten-Gesetz mit konkreten Rechten, Pflichten und Sanktionen für Mandatsträger und Lobbyisten ein, das vorbildlichen Regelungen anderer Demokratien entspricht."," Das Man-dat darf nicht unter bezahlten Nebentätigkeiten leiden. Der überbordende Lobbyismus in Brüssel und Berlin muss eingedämmt werden. Wir wollen die Regelungen der Nebentätigkeiten für Parlamentarier und gegen Abgeordnetenbestechung deutlich verschärfen. Unseren eigenen Abgeordneten haben wir bereits jetzt über unsere Satzung entsprechende Regeln auferlegt. Ferner setzen wir uns für ein Lobbyisten-Gesetz mit konkreten Rechten, Pflichten und Sanktionen für Mandatsträger und Lobbyisten ein, das vorbildlichen Regelungen anderer Demokratien entspricht.","","FALSE",74
